Country: ,Operator:,Service Name: ,Credit Amount in $: ,Commission in %: ,Credit Amount on the Website: ,Commission on the Website: ,Credit Issuance/Receipt Terms: ,Service Link: ,Website Link:
Kyrgyzstan:,Beeline,Trust Payment,"0.11, 0.34, 0.68, 1.14 dollars","30%, 20%, 20%, 20%","10, 30, 60, 100 soms","3, 6, 12, 20 soms",1) The service is provided to subscribers with a prepaid payment system with a service period of more than 90 days and a balance top-up amount of at least 150 soms in the last 60 days. The balance of the number at the time of receiving the Trust Payment should not be less than zero. 2) You can receive two Trust Payments simultaneously. The third payment will be available only after the full repayment of the previous payment and the cost of the service. 3) Trust Payment issuance is available for subscribers in roaming.,https://beeline.kg/ru/products/services/doveritelnii-platezh.html,https://beeline.kg/
,MEGA (formerly MegaCom),Trust Payment,"0.11, 0.57, 1.14, 2.27 dollars","20%, 10%, 10%, 10%","10, 50, 100, 200 soms","2, 5, 10, 20 soms","1) The service is provided to MegaCom network subscribers whose profile meets the payment issuance conditions (taking into account the service period in the network, service form, and subscriber accruals). 2) The service is not available to subscribers served on corporate tariff plans with a credit service form, as well as on prepaid tariff plans where there is more than one subscriber on one personal account. 3) The service is not available on the 'Salam' brand tariff plans. 4) Payments of 10, 50, 100, and 200 soms are issued again only after the full repayment of the previous payment and the cost of the service. The payment is not considered repaid if it was automatically deducted within 7 calendar days from the issuance date and the Subscriber has not topped up the balance. 5) The service is not compatible with other credit services. 6) The service is not provided to subscribers in roaming, except for receiving a payment under the balance auto-replenishment subscription. 6) Numbers on which the 'Anti-Caller ID +' service is connected cannot be addressed for 'Trust Payment' due to lack of balance or debit, or dial *222 to receive a payment.",https://www.megacom.kg/services/doveritelnyy-platezh?locale=ru,https://www.megacom.kg/
,"O! (NurTelecom, now under the O! brand)",Trust Payment,"0.28, 0.57, 0.85, 1.14 dollars",20%.,"25, 50, 75, 100 soms","5, 10, 15, 20 soms","1) Only one 'Trust Payment' can be received at a time. Reconnection to the 'Trust Payment' is possible only after payment for this service and repayment of the provided service limit; 2) 'Trust Payment' can be received regardless of the balance state; 3) The service 'Trust Payment' cannot be connected when the 'Auto Payment' service is connected and in roaming; 4) Using the 'Trust Payment' service is possible throughout the territory of the Kyrgyz Republic for all subscribers of the prepaid and postpaid (personal account) service system, except for those who are served on the tariffs 'Advantageous Unlimited 4G for 30/60/90/360 days', 'Internet and TV for a year', 'Alga Internet', 'Internet 40 GB', 'Internet for home', 'Internet+', 'Alga Internet + O!TV'.",https://o.kg/ru/chastnym-klientam/uslugi/uslugi/vozmozhnosti-pri-nule/doveritelnyy-platezh/,https://o.kg/
,,,,,,,,,
Tajikistan:,Tcell (Indigo Tajikistan and Somoncom),Temporary Payment,"0.09, 0.46, 0.93 dollars","20%, 14%, 10%","1, 5, 10 somoni","0.2, 0.7, 1 somoni","1) The service is available for all PrePaid and PostPaid tariffs, except for the Next 2016 tariffs, the lifespan of which in the Tcell network is more than 30 days. The subscriber's lifespan is counted from the day of the subscriber's first call, and the subscriber must top up their account at least once (for any amount), except for the initial administrative payment. 2) The service can be activated only with a balance of -0.10 somoni or more. 3) For reactivation of the Temporary Payment, the subscriber must repay the previous activated Temporary Payment. 4) #1. The number of days from the date of the subscriber's first call from 31 days to 180 days - the available amount of Temporary Payment is 1 somoni. #2. The number of days from the date of the subscriber's first call from 181 days to 480 days - the available amount of Temporary Payment is 5 somoni. #3. The number of days from the date of the subscriber's first call 480 days and more - the available amount of Temporary Payment is 10 somoni.",https://www.tcell.tj/services/mobile-payments/temporary-payment.php,https://www.tcell.tj/
,Babilon-Mobile,Trust Payment,"0.14, 0.23, 0.46, 0.93, 1.39, 2.32, 2.79 dollars",20%.,"1.5, 2.5, 5, 10, 15, 25, 30 somoni","0.3, 0.5, 1, 2, 3, 5, 6 somoni","Mandatory requirements for using the 'Trust Payment' service: 1) The Subscriber's SIM card must have been connected to the Operator's network at least 30 days ago; 2) The Subscriber's balance at the time of requesting service activation must be at least -1 (minus one) TJS; 3) The Subscriber must not have any outstanding debts for previously provided 'Trust Payments', as well as for the 'Haft Rang' and/or 'Trust Package' services. 4) #1. The subscriber's registration date in the network is more than 30 days, the total amount of account top-ups for the subscriber is more than 15 TJS for the last 30 days, and the subscriber's balance at the time of the request is >-1 TJS - 1.5 and 2.5 somoni are available. #2. The subscriber's registration date in the network is more than 90 days, the total amount of account top-ups for the subscriber is more than 25 TJS for the last 90 days, and the subscriber's balance at the time of the request is >-2 TJS - 5 somoni are available. #3. The subscriber's registration date in the network is more than 90 days, the total amount of account top-ups for the subscriber is more than 45 TJS for the last 90 days, and the subscriber's balance at the time of the request is >-3 TJS - 10 somoni are available. #4. The subscriber's registration date in the network is more than 90 days, the total amount of account top-ups for the subscriber is more than 75 TJS for the last 90 days, and the subscriber's balance at the time of the request is >-3 TJS - 15 somoni are available. #5. The subscriber's registration date in the network is more than 3 years, the total amount of account top-ups for the subscriber is more than 85 TJS for the last 90 days, and the subscriber's balance at the time of the request is >-10 TJS - 25 somoni are available. #6. The subscriber's registration date in the network is more than 5 years, the total amount of account top-ups for the subscriber is more than 100 TJS for the last 90 days, and the subscriber's balance at the time of the request is >-15 TJS - 30 somoni are available.",http://babilon-m.tj/services.php?id=82,http://babilon-m.tj/
,"MegaFon Tajikistan (CJSC ""TT mobile"")",Trust Payment,from 0.09 to 27.87 dollars,"0% or 3.00 somoni, including taxes, regardless of the amount of the received payment.",from 1 to 300 somoni,"If you repay the trust payment within 24 hours, the service is provided to you for free. If after 24 hours the amount of the provided payment is not fully repaid, the cost of using the service will be 3.00 somoni, including taxes, regardless of the amount of the received payment.","The 'Trust Payment' service is not available to Subscribers who, at the time of sending the request to receive the payment, have: 1) A balance on the personal account of less than -0.10 somoni. 2) An active 'Number Preservation' Tariff Plan. 3) A subscriber status of 'Legal Entity', subscribers served on a corporate or non-commercial tariff plan. 4) An outstanding payment already.",https://www.megafon.tj/uslugi/vozmozhnosti-pri-nule/doveritelnyy-platyezh/,https://www.megafon.tj/
,Zet-Mobile (Tacom LLC),Zero Balance Assistance,"0.28, 0.46, 0.65, 0.93, 1.39, 1.86, 2.32, 2.79 dollars",15%.,"3, 5, 7, 10, 15, 20, 25, 30 somoni","0.45, 0.75, 1.05, 1.5, 2.25, 3, 3.75, 4.5 somoni","The package is provided based on the subscriber's expenditure level according to the following table: #1. Expenditure amount for 30 days "">= 3 somoni < 5"" - 3 somoni available. #2. Expenditure amount for 30 days "">= 5 somoni < 7"" - 5 somoni available. #3. Expenditure amount for 30 days "">= 7 somoni < 10"" - 7 somoni available. #4. Expenditure amount for 30 days "">= 10 somoni < 15"" - 10 somoni available. #5. Expenditure amount for 30 days "">= 15 somoni < 20"" - 15 somoni available. #6. Expenditure amount for 30 days "">= 20 somoni < 25"" - 20 somoni available. #7. Expenditure amount for 30 days "">= 25 somoni < 30"" - 25 somoni available. #8. Expenditure amount for 30 days "">= 30"" - 30 somoni available.",https://zet-mobile.com/services/post/pomoshch-pri-nule,https://zet-mobile.com/
,,,,,,,,,
Azerbaijan:,Azercell,SimCredit,"0.59, 1.18, 1.76 dollars. ""EkstraKredit"" +0.59 dollars","20%. ""EkstraKredit"" +40%","1, 2, 3 manat. ""EkstraKredit"" +1 manat","0.2, 0.4, 0.6 manat. ""EkstraKredit"" +0.4 manat","The amount of 'SimCredit' that can be obtained varies for each user. Additionally, the history of balance top-ups and the line's activity period are taken into account. To find out the maximum amount of 'SimCredit' that can be obtained, dial 2007#YES.",https://www.azercell.com/ru/personal/plans-and-services/services-and-options/0-balance-options/sim-credit.html,https://www.azercell.com/
,Bakcell,CINCredit,"0.59, 1.18, 1.76, 2.35, 2.94 dollars",20%.,"1, 2, 3, 4, 5 manat","0.2, 0.4, 0.6, 0.8, 1 manat","To top up your balance on credit, your number must be in active mode. #1. Bakcell subscribers, whose number has been active for the last 90 days up to 2 years, can get 2 CINKredits. If they fail to repay 2 previous credits, they cannot get a new credit. #2. Bakcell subscribers, whose number has been active for 2 to 5 years, can get 3 CINKredits. If they fail to repay 3 previous credits, they cannot get a new credit. #3. Bakcell subscribers, whose number has been active for 5 years or more, can get 5 CINKredits. If they fail to repay 5 previous credits, they cannot get a new credit.",https://www.bakcell.com/ru/cinkredit,https://www.bakcell.com/
,"Nar (formerly Nar Mobile) LLC ""Azerfon""",Take a Loan!,"0.29, 0.59, 1.18, 1.76, SOS credit 0.59 dollars. Nar credit up to 5.88, and SOS up to 1.18 dollars available.",20%. SOS Credit 40%,"0.5, 1, 2, 3, SOS credit 1 manat. Nar credit up to 10, and SOS up to 2 manat available.","0.1, 0.2, 0.4, 0.6, SOS credit 0.4 manat",1) The Nar Credit and SOS Credit services can only be used by subscribers with a prepaid payment system in active status. 2) The balance must be topped up at least once within the last 30 days. 3) Subscribers can use the Nar Credit service if they top up their balance by at least 1 AZN within 7 days from the activation of the number. 4) Credit services are also available in roaming.,https://www.nar.az/ru/senin-ucun/nar-kredit/,https://www.nar.az/
,,,,,,,,,
Uzbekistan:,Ucell,Mobile Advance,from 0.17 to 11.85 dollars,Individually,from 2 100 to 150 500 sum,"The advance amount and the service fee for ""Mobile Advance"" are calculated individually for each subscriber and depend on the following conditions: • how long the subscriber has been using the Company's services; • how often and how much they top up the balance; • how often and for what amount they activate and promptly repay the ""Mobile Advance"" or ""Internet Advance"" previously issued.","1) The service is available only for Prepaid system subscribers in 'Active' status and at the first stage of 'Blocked' status (when initially transitioning to 'Blocked' status, if there are insufficient funds on the account at the time of monthly subscription fee deduction or if the balance is negative). 2) The 'Mobile Advance' service is provided only if all of the following conditions are met: • You do not have an active (previously connected) 'Mobile Advance' or 'Internet Advance'. • You are a Prepaid system subscriber and your status is 'Active/Blocked'. • You have topped up your balance within the last 30 days. 3) The advance amount and fee for the 'Mobile Advance' service are calculated individually for each subscriber and depend on the following conditions: how long the subscriber has been using the Company's services; how often and by how much they top up their balance; how often and for what amount they connect and timely repay the 'Mobile Advance' or 'Internet Advance' previously issued. 'Mobile Advance' may be unavailable for connection if the subscriber has an outstanding 'Mobile Advance' or 'Internet Advance'. 4) The service is available for Prepaid system subscribers at the first stage of 'Blocked' status according to the following list: • On the 'Mood', 'COSMO', 'Tantana', and 'Ovoz 15' tariff plans - 29 days; • On the 'Ovoz 25' tariff plan - 3 days; • On the 'Student', 'Bigger!', 'Marhamat', 'Simple', 'Start 35', and 'Start 10' tariff plans - 29 days; • On the 'Doimiy', 'Sof', 'Special', 'Special +', 'Active', 'Katta Doimiy' tariff plan lines - 29 days; • When connecting beautiful numbers (Beautiful number in installments, Desired number) - 5 days.",https://ucell.uz/ru/subscribers/services2/permanent_connection/promised_payment,https://ucell.uz/
,Beeline Uzbekistan,Trust Payment,from 0.20 to 7.48 dollars,20%.,from 2 500 to 95 000 sum,20%.,"1) The service is available to subscribers using prepaid tariff plans and who have been connected to Beeline for more than 3 months. The service is available both in the home network and in roaming. 2) The balance must be at least -1,000 sum. 3) The service is provided if the average monthly expenditure on your number for the last 3 months is at least 5,000 sum. 4) The service 'Trust Payment' can be obtained again only on the 5th day after the previous provision. 5) General conditions: #1. Average monthly expenditures (for 3 months) from 5,000 to 9,999 sum - the range of the available trust payment amount is from 2,500 to 7,000 sum. #2. Average monthly expenditures (for 3 months) from 10,000 to 19,999 sum - the range of the available trust payment amount is from 7,000 to 17,000 sum. #3. Average monthly expenditures (for 3 months) from 20,000 to 39,999 sum - the range of the available trust payment amount is from 12,000 to 40,000 sum. #4. Average monthly expenditures (for 3 months) from 40,000 to 79,999 sum - the range of the available trust payment amount is from 17,000 to 65,000 sum. #5. Average monthly expenditures (for 3 months) over 80,000 sum - the range of the available trust payment amount is from 25,000 to 95,000 sum.",https://beeline.uz/ru/products/services/doveritelniy-platezh,https://beeline.uz/
,UZTELECOM (sub-brand UzMobile),EXTRA Balance,from 0.08 to 3.15 dollars,20%.,from 1 000 to 40 000 sum,from 200 to 8 000 sum,"1) The service is not available to subscribers in blocked status or to subscribers in roaming. 2) It is allowed to take additional 'EXTRA balance' without covering the amount of the initially issued balance, but not exceeding the established advance limit. 3) The period of activity in the network is at least 90 days. 4) Monthly top-ups for the last 90 days are at least 10,000 sum. 5) The maximum advance limit for each subscriber may vary. The service takes into account expenses made in the last 3 months. The size of the maximum advance limit can be automatically changed both upwards and downwards - this depends on the changes in the subscriber's profile within this service (taking into account the duration of service in the network, expenses on communication services, activity in using services, as well as the number and period of blocks).",https://uztelecom.uz/ru/chastnym-licam/mobilnaya-svyaz/gsm/uslugi/dopolnitelnye-uslugi/extra-balans,https://uztelecom.uz/
,Mobiuz (formerly UMS),Promised Payment,from 0.08 to 3.15 dollars,20%.,from 1 000 to 40 000 sum,from 200 to 8 000 sum,"1) The service is provided to subscribers in active status, partial blockage, as well as blockage due to insufficient funds. 2) The service is not available to subscribers in roaming. 3) It is allowed to take additional 'Promised Payment' without covering the amount of the initially issued balance, but not exceeding the established advance limit. 4) This service is not available to new subscribers within 60 days of activation. 5) Monthly top-ups for the last 60 days are two or more times, with a minimum amount of 10,000. 6) The maximum advance limit for each subscriber may vary, but not exceeding 40,000 sum. The service takes into account expenses made in the last 3 months.",https://mobi.uz/ru/uslugi/account/74419/,https://mobi.uz/
,Perfectum Mobile,-,,-,-,-,-,https://www.perfectum.uz/,CDMA network.
,Humans,-,,-,-,-,-,https://humans.uz/,The service (mobile application) combines the financial service of the mobile operator and the payment system.
